From	To	Species	Gene Name
ENSMMUG00000019203	TVP23B	Macaca mulatta	trans-golgi network vesicle protein 23 homolog B(TVP23B)
ENSMMUG00000013172	RFX5	Macaca mulatta	regulatory factor X5(RFX5)
ENSMMUG00000010892	LRRC45	Macaca mulatta	leucine rich repeat containing 45(LRRC45)
ENSMMUG00000010890	CENPX	Macaca mulatta	centromere protein X(CENPX)
ENSMMUG00000010691	LOC706496	Macaca mulatta	ribosomal protein L9-like(LOC706496)
ENSMMUG00000021023	UBE2C	Macaca mulatta	ubiquitin conjugating enzyme E2 C(UBE2C)
ENSMMUG00000019875	KIAA0391	Macaca mulatta	KIAA0391 ortholog(KIAA0391)
ENSMMUG00000007415	RWDD1	Macaca mulatta	RWD domain containing 1(RWDD1)
ENSMMUG00000013766	PTGES3	Macaca mulatta	prostaglandin E synthase 3(PTGES3)
ENSMMUG00000013767	BIRC5	Macaca mulatta	baculoviral IAP repeat containing 5(BIRC5)
ENSMMUG00000019009	SATB1	Macaca mulatta	SATB homeobox 1(SATB1)
ENSMMUG00000021028	GEMIN2	Macaca mulatta	gem nuclear organelle associated protein 2(GEMIN2)
ENSMMUG00000021026	PNN	Macaca mulatta	pinin, desmosome associated protein(PNN)
ENSMMUG00000029950	LOC713497	Macaca mulatta	60S ribosomal protein L36a-like(LOC713497)
ENSMMUG00000016635	NIP7	Macaca mulatta	NIP7, nucleolar pre-rRNA processing protein(NIP7)
ENSMMUG00000019477	LOC698994	Macaca mulatta	annexin-2 receptor-like(LOC698994)
ENSMMUG00000016634	TMED6	Macaca mulatta	transmembrane p24 trafficking protein 6(TMED6)
ENSMMUG00000003339	WWP2	Macaca mulatta	WW domain containing E3 ubiquitin protein ligase 2(WWP2)
ENSMMUG00000013573	MZT2B	Macaca mulatta	mitotic spindle organizing protein 2B(MZT2B)
ENSMMUG00000014415	DDX10	Macaca mulatta	DEAD-box helicase 10(DDX10)
ENSMMUG00000005689	PRDX2	Macaca mulatta	peroxiredoxin 2(PRDX2)
ENSMMUG00000004861	NDUFS4	Macaca mulatta	NADH:ubiquinone oxidoreductase subunit S4(NDUFS4)
ENSMMUG00000016638	PPIA	Macaca mulatta	peptidylprolyl isomerase A(PPIA)
ENSMMUG00000016637	VPS4A	Macaca mulatta	vacuolar protein sorting 4 homolog A(VPS4A)
ENSMMUG00000016636	PDF	Macaca mulatta	peptide deformylase (mitochondrial)(PDF)
ENSMMUG00000004863	ATPAF1	Macaca mulatta	ATP synthase mitochondrial F1 complex assembly factor 1(ATPAF1)
ENSMMUG00000019866	HOOK3	Macaca mulatta	hook microtubule tethering protein 3(HOOK3)
ENSMMUG00000013779	LOC100423131	Macaca mulatta	lymphotactin-like(LOC100423131)
ENSMMUG00000019869	SNX20	Macaca mulatta	sorting nexin 20(SNX20)
ENSMMUG00000004457	SLC25A10	Macaca mulatta	solute carrier family 25 member 10(SLC25A10)
ENSMMUG00000029137	LOC693932	Macaca mulatta	non-histone chromosomal protein HMG-17(LOC693932)
ENSMMUG00000019891	LOC722485	Macaca mulatta	prostaglandin F synthase 1-like(LOC722485)
ENSMMUG00000023053	GstT2	Macaca mulatta	glutathione S-transferase theta 2(GSTT2)
ENSMMUG00000032219	LOC719537	Macaca mulatta	interferon-induced transmembrane protein 3(LOC719537)
ENSMMUG00000029181	XRCC3	Macaca mulatta	X-ray repair cross complementing 3(XRCC3)
ENSMMUG00000032216	LOC698197	Macaca mulatta	60S ribosomal protein L27a-like(LOC698197)
ENSMMUG00000032342	LOC707204	Macaca mulatta	40S ribosomal protein S13 pseudogene(LOC707204)
ENSMMUG00000032340	LOC708995	Macaca mulatta	60S ribosomal protein L23a pseudogene(LOC708995)
ENSMMUG00000019489	LOC708371	Macaca mulatta	amine oxidase [flavin-containing] A(LOC708371)
ENSMMUG00000022585	SLC25A15	Macaca mulatta	solute carrier family 25 member 15(SLC25A15)
ENSMMUG00000004400	YIPF2	Macaca mulatta	Yip1 domain family member 2(YIPF2)
ENSMMUG00000014648	RPS18	Macaca mulatta	ribosomal protein S18(RPS18)
ENSMMUG00000029973	LOC709583	Macaca mulatta	60S acidic ribosomal protein P1 pseudogene(LOC709583)
ENSMMUG00000001457	znf605	Macaca mulatta	zinc finger protein 605(ZNF605)
ENSMMUG00000012505	SMIM12	Macaca mulatta	small integral membrane protein 12(SMIM12)
ENSMMUG00000010634	ASB3	Macaca mulatta	ankyrin repeat and SOCS box containing 3(ASB3)
ENSMMUG00000019688	LOC709254	Macaca mulatta	ADP-ribosylation factor 4(LOC709254)
ENSMMUG00000007433	RPL6	Macaca mulatta	ribosomal protein L6(RPL6)
